"_time",daylogins,"_span","_spandays"
1420059600,"125992.000000",86400,1
1420146000,"151026.000000",86400,1
1420232400,"145320.000000",86400,1
1420318800,"145904.000000",86400,1
1420405200,"172270.000000",86400,1
1420491600,"172318.000000",86400,1
1420578000,"149884.000000",86400,1
1420664400,"171448.000000",86400,1
1420750800,"183604.000000",86400,1
1420837200,"176794.000000",86400,1
1420923600,"161370.000000",86400,1
1421010000,"318054.000000",86400,1
1421096400,"296129.000000",86400,1
1421182800,"297571.000000",86400,1
1421269200,"319229.000000",86400,1
1421355600,"305723.000000",86400,1
1421442000,"225878.000000",86400,1
1421528400,"178933.000000",86400,1
1421614800,"304052.000000",86400,1
1421701200,"327451.000000",86400,1
1421787600,"303406.000000",86400,1
1421874000,"287452.000000",86400,1
1421960400,"307830.000000",86400,1
1422046800,"228340.000000",86400,1
1422133200,"187617.000000",86400,1
1422219600,"305656.000000",86400,1
1422306000,"290638.000000",86400,1
1422392400,"276707.000000",86400,1
1422478800,"276434.000000",86400,1
1422565200,"299527.000000",86400,1
1422651600,"223677.000000",86400,1
1422738000,"204190.000000",86400,1
1422824400,"298718.000000",86400,1
1422910800,"283847.000000",86400,1
1422997200,"284384.000000",86400,1
1423083600,"306870.000000",86400,1
1423170000,"305548.000000",86400,1
1423256400,"225185.000000",86400,1
1423342800,"178153.000000",86400,1
1423429200,"305252.000000",86400,1
1423515600,"335861.000000",86400,1
1423602000,"300239.000000",86400,1
1423688400,"294723.000000",86400,1
1423774800,"322135.000000",86400,1
1423861200,"237687.000000",86400,1
1423947600,"190053.000000",86400,1
1424034000,"315686.000000",86400,1
1424120400,"299264.000000",86400,1
1424206800,"291989.000000",86400,1
1424293200,"307850.000000",86400,1
1424379600,"342643.000000",86400,1
1424466000,"251214.000000",86400,1
1424552400,"187226.000000",86400,1
1424638800,"215694.000000",86400,1
1424725200,"325256.000000",86400,1
1424811600,"347983.000000",86400,1
1424898000,"318650.000000",86400,1
1424984400,"336717.000000",86400,1
1425070800,"259711.000000",86400,1
1425157200,"236051.000000",86400,1
1425243600,"324765.000000",86400,1
1425330000,"309093.000000",86400,1
1425416400,"305772.000000",86400,1
1425502800,"331008.000000",86400,1
1425589200,"344590.000000",86400,1
1425675600,"256824.000000",86400,1
1425762000,"215512.000000",86400,1
1425848400,"196334.000000",86400,1
1425934800,"361833.000000",86400,1
1426021200,"330536.000000",86400,1
1426107600,"322020.000000",86400,1
1426194000,"342843.000000",86400,1
1426280400,"251427.000000",86400,1
1426366800,"203152.000000",86400,1
1426453200,"341162.000000",86400,1
1426539600,"321857.000000",86400,1
1426626000,"308535.000000",86400,1
1426712400,"307770.000000",86400,1
1426798800,"336944.000000",86400,1
1426885200,"269325.000000",86400,1
1426971600,"196280.000000",86400,1
1427058000,"339870.000000",86400,1
1427144400,"310974.000000",86400,1
1427230800,"324963.000000",86400,1
1427317200,"302360.000000",86400,1
1427403600,"306860.000000",86400,1
1427490000,"227209.000000",86400,1
1427576400,"187069.000000",86400,1
1427662800,"305937.000000",86400,1
1427749200,"318379.000000",86400,1
1427835600,"339338.000000",86400,1
1427922000,"314367.000000",86400,1
1428008400,"416011.000000",86400,1
1428094800,"256412.000000",86400,1
1428181200,"198242.000000",86400,1
